id,icao_code,iata_code,name,type,city_id,country_id,continent_id,latitude_deg,longitude_deg,elevation_ft
1,NTGA,AAA,Anaa Airport,medium_airport,47868,198,6,-17.3526,-145.509995,10
2,YARY,AAB,Arrabury Airport,small_airport,47869,9,6,-26.69639,141.048718,334
3,HEAR,AAC,El Arish International Airport,medium_airport,47870,51,1,31.078565,33.836791,118
4,AAD,AAD,Adado Airport,small_airport,47871,162,2,6.095802,46.6375,1001
5,DABB,AAE,Annaba Rabah Bitat Airport,medium_airport,2074,3,2,36.826781,7.81334,16
6,KAAF,AAF,Apalachicola Regional Airport,small_airport,47872,188,4,29.72750092,-85.02749634,20
7,SSYA,AAG,Avelino Vieira Airport,small_airport,2421,24,5,-24.103901,-49.789101,2641
8,EDKA,AAH,Aachen-Merzbrück Airport,small_airport,26,64,3,50.823055,6.186389,623
9,SWRA,AAI,Arraias Airport,small_airport,2642,24,5,-13.025154,-46.884107,1923
10,SR-AAJ,AAJ,Cayana Airstrip,small_airport,47873,168,5,3.898681,-55.577907,360
11,NGUK,AAK,Aranuka Airport,small_airport,47874,89,6,0.185278,173.636993,6
12,EKYT,AAL,Aalborg Airport,medium_airport,28,46,3,57.094763,9.84993,10
13,FAMD,AAM,Malamala Airport,medium_airport,47875,163,2,-24.816866,31.544085,1124
14,OMAL,AAN,Al Ain International Airport,medium_airport,47876,186,1,24.26169968,55.60919952,869
15,SVAN,AAO,Anaco Airport,medium_airport,1782,193,5,9.430225,-64.470726,721
16,WALS,AAP,Aji Pangeran Tumenggung Pranoto International Airport,medium_airport,36569,77,1,-0.374478,117.250128,82
17,URKA,AAQ,Anapa Vityazevo Airport,medium_airport,47877,145,3,45.002102,37.347301,174
18,EKAH,AAR,Aarhus Airport,medium_airport,36,46,3,56.303331,10.618286,82
19,ID-AAS,AAS,Apalapsili Airport,small_airport,47878,77,1,-3.882495,139.310932,3100
20,CN-0113,AAT,Altay Xuedu Airport,medium_airport,1311,36,1,47.749886,88.085808,2460
21,NSAU,AAU,Asau Airport,small_airport,2781,150,6,-13.505132,-172.627888,
22,RPMA,AAV,Allah Valley Airport,medium_airport,41200,140,1,6.367903,124.752431,659
23,SBAX,AAX,Romeu Zema Airport,medium_airport,47879,24,5,-19.5632,-46.9604,3276
24,OYGD,AAY,Al Ghaydah International Airport,medium_airport,47880,195,1,16.193341,52.174186,134
25,MGQZ,AAZ,Quezaltenango Airport,small_airport,47881,68,4,14.8656,-91.501999,7779
26,UNAA,ABA,Abakan International Airport,medium_airport,55,145,3,53.740002,91.385002,831
27,DNAS,ABB,Asaba International Airport,medium_airport,2749,129,2,6.204167,6.665278,305
28,LEAB,ABC,Albacete Airport / Los Llanos Air Base,medium_airport,995,165,3,38.948502,-1.86352,2302
